,Spécialité,Domaine,Durée (année),Type Diplôme,Diplômés,id_
3,Architecture,"Architecture, Urbanisme et Aménagement du territoire",4,Licence,1,48
4,Biologie,Biologie/Chimie,4,Licence,13,48
5,Droit,Droit,4,Licence,25,48
6,Finance et Banque,"Management/Gestion, Finance, Comptabilité et Commerce",4,Licence,13,48
7,Gestion de PME,"Management/Gestion, Finance, Comptabilité et Commerce",4,Licence,13,48
8,Gestion Touristique,"Management/Gestion, Finance, Comptabilité et Commerce",4,Licence,13,48
9,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",4,Licence,13,48
10,Gestion de Projets,"Management/Gestion, Finance, Comptabilité et Commerce",2,Diplome,13,48
11,Médecine Générale,Santé et Professions médicales,7,Licence,59,48
12,Sciences de l'Education,Sciences de l’Education,4,Licence,1,48
13,Administration Scolaire,Sciences de l’Education,4,Licence,1,48
14,Ingénieur Agronome,Sciences de l’Ingénieur,4,Licence,6,48
15,Topographie,Sciences de l’Ingénieur,4,Licence,1,48
16,Génie Industriel,Sciences de l’Ingénieur,4,Licence,1,48
17,Génie Civil,Sciences de l’Ingénieur,4,Licence,1,48
18,Relations Internationales,Sciences économiques et politiques,4,Licence,15,48
19,Economie,Sciences économiques et politiques,4,Licence,20,48
20,Sciences politiques,Sciences économiques et politiques,4,Licence,4,48
1,Sciences Infirmières,Santé et Professions médicales,4 ans,Diplome,87,359
1,Sciences Infirmières,Santé et Professions médicales,4 ans,Diplome,50,371
1,Sciences Infirmières,Santé et Professions médicales,4 ans,Diplome,39,360
1,Sciences Infirmières,Santé et Professions médicales,4 ans,Technique,28,361
1,Technique Agricole,Agriculture – Agroalimentaire,2 ans,Technique,40,301
2,Comptabilité,"Management/Gestion, Finance, Comptabilité et Commerce",2,Certificat,40,301
3,Mécanique automobile,Mécanique,2,Technique,20,301
