,id_,institutions,type_formations,telephones,adresses
204,244,Institut d'Enseignement Chrétien Siloé de Port-au-Prince,Technique,"2813 1069, 3753 5582","319, Rue du Centre, Port-au-Prince, Ouest"
205,131,Institut de Comptabilité de Gestion de Secrétariat et d'Informatique,Technique,3764 5179,Nord-Ouest
206,217,Institut de Formation des Cadres,Universitaire,"3680 8558, 3434 2028, 2226 1427, 3434 2028","7-9, Avenue N, Port-au-Prince, Ouest 
68, BLVD Jean Jacques Dessalines, Mirebalais, Centre"
207,391,Institut de formation en gestion pour la Logistique (Continue),Technique,"2278 3635, 4038 3475, 3408 3561","Delmas 83, Port-au-Prince, Ouest"
208,235,Institut de Formation Hôtelière et Touristique,Technique,"2230 5826, 2811 9828","Route Nationale #2,Faugasse (à dix minutes de la ville des Cayes), Cayes, Sud"
209,308,Institut de Formation Technique et Professionnelle,Technique,"2812 1314, 2214 2080","#22, 1ere Impasse Lavaud, Avenue Lamartière, Port-au-Pricne, Ouest"
210,275,Institut de Management Territorial d’Etudes et de Recherche Politiques,Universitaire,2811 5958,"20, Avenue Lamartinière, Bois-Verna (Bureau 27), Port-au-Prince, Ouest"
211,238,Institut de Nursing Appliqué,Technique,3828 0066,"#29, Delmas 29"
212,240,Institut de Nursing Elodie Mailloux,Technique,"36 01 1053,  3780 7878","# 95, Rue Alerte, Port-au-Prince, Ouest"
213,370,Institut de Nursing et de Laboratoire COPSA,Technique,4748-8080,"61, Route de Pivert, Saint Marc, Artibonite"
214,239,Institut de Nursing Rosette Poletti (INUROP),Technique,"3177 8211, 4039 2121","9, Avenue N., Port-au-Prince, Ouest"
215,311,Institut de Technologie Agricole des Gonaïves,Technique,3800 7568,"Gonaïves, Artibonite"
216,49,Institut des Hautes Etudes Commerciales et Economiques,Universitaire,"3236 4915, 4756 8966, 4381 6947","275, Ave John Brown(Lalue), Port-au-Prince, Ouest"
217,262,Institut des Hautes Etudes Paramedicales de la Caraïbe (ISHEPAC),Technique,3774 3401/ 3676-2902,"5, Rue 3, Avenue Christophe, Port-au-Prince, Ouest"
218,279,Institut des Sciences Appliquées,Technique,3813-3781,"61,Source Dommage, Grand'Anse"
219,139,Institut des Sciences Infirmières et de Technologie Médicale de Miragoane,Technique,3703 4296 / 3774 1646,"Rue Ducoste,
Port-au-Prince"
220,384,"Institut des sciences, des technologies et des études avancées d’Haïti",Universitaire,"3636 3607, 4769 0404,  3777 8999","Rue 20A, Cap Haitien, Nord 
10, Rue Mercier-Laham, Delmas 60 Musseau,Port-au-Prince Ouest
Route Nationale #2, Bergeaud, Local du lycée Claudy Museau et de l'Université Publique du Sud aux Cayes 
148 Rhode II, Hinche, Centre"
221,353,Institut des Soeurs Hyacinthe,Technique,3401-3292,"42, Rue Mais Gate, Port-au-Prince, Ouest"
222,215,Institut Haïtien des Sciences Administratives (IHSA),Universitaire,3443 1974,"Angle Avenue Christophe et rue 6, no 4, Port-au-Prince, Ouest"
223,218,Institut Lope de Vega,Technique,3401 8659 /222 710 10,"22, rue Lavaud , Port-au-Prince Ouest"
224,237,Institut Louis Pasteur,Technique,3788-2874 / 2940-1001,"99, Rue Oswald Durand, Port-au-Prince, Ouest"
225,341,Institut Miguel De Cervantes,Technique,"3701 9279, 3821 6531","#21, Rue Rébecca, Pétion-Ville, Ouest"
226,18,"Institut National d'Administration, de Gestion et des Hautes Études Internationales (UEH)",Universitaire,"2221 7878, 2221 7837  222 54 04 , 222 02 85","160, Ave Christophe, Port-au-Prince, Ouest"
227,354,Institut Paramédical Bilingue Raymond Sabouraud,Technique,3738-0590,"29, Avenue Poupelard , Port Au-Prince , Haiti"
228,355,Institut Paramédical du Millénium des Cayes,Technique,4733-0490,"101, Boulevard des quatre chemins, Cayes, SUD"
229,254,Institut Paramédical Louis Pasteur,Technique,"2940 1001,  3779 6575","99, Rue Oswald Durand, Port-au-Prince, Ouest"
230,334,Institut Professionnel Judith Bellegarde,Technique,2245 7884,"#3, Impasse Colon Turgeau, Port-au-Prince, Ouest"
231,205,Institut Sacré-Coeur des Etudes Professionnelles et Commerciales,Technique,3767 9410,"Cap-haitien, Nord"
232,258,Institut Sanitaire du Nord,Technique,3137 0216,"Rue 22 B, Cap Haïtien, Nord"
233,365,Institut St-Pierre de Formation,Technique,3449-8569,"Rue 4 et 5, Cap Haïtien, Nord"
234,127,Institut Supérieur d'Administration et de Gestion,Universitaire & Technique,"3346 7556,  3630 1535","170, Avenue Jean Paul II, Turgeau, Port-au-Prince, Ouest"
235,366,Institut Supérieur d'Etudes Paramédicales,Technique,3760-6306  / 3718 1774,"Pemerle, Lycée Saint-Joseph, Fond-des-Nègres, NIPPES"
236,80,Institut Supérieur de Recherche et de Développement Technologique,Universitaire & Technique,"2940 3041,  3407 9041,  3424 3041","23, bis Ave. Martin Luther King Nazon, Port-au-Prince, Ouest"
237,82,Institut Supérieur de Technologie Médicale du Cap-Haïtien,Universitaire & Technique,3708 84 66 / 3376 0740,"Rue 17 Q, Cap Haïtien, Nord"
238,70,Institut Supérieur des Sciences Economiques Politiques et Juridiques,Universitaire,"2245 6583, 2245 3794","180, Lalue(en face de l’Immigration), Port-au-Prince, Ouest"
239,31,Institut Supérieur d’Etudes et de Recherches en Sciences Sociales (UEH),Universitaire,2516 7223,"13, 2ème Impasse Lavaud, Port-au-Prince, Ouest"
240,126,Institut technique Carenage,Technique,"2262 1663, 2262 3564","Rue 25, 26 A, Cap-Haitien"
241,225,Institut Universitaire de l’Ouest,Universitaire,"3868 5160, 3448 9383, 3224 0005","8, Rue Duncombe , Bois verna, Port-au-Prince, Ouest"
242,278,Institut Universitaire et Technologique d'Haïti,Universitaire,"3806 3945, 3632 5354 , 3693 7605","53, Avenue N, Port-au-Prince, Ouest"
243,42,Institut universitaire Quisqueya-Amérique,Universitaire,2944 0199/2941-8289,"Tabarre 43, Blvd 15 Octobre, Port-au-Prince, Ouest"
244,256,Institut Verlaine Jacques (Gonaives),Technique,4383 7170,"Gonaives, Artibonite"
245,206,Institution Chrétienne de Technologie et d'Agriculture (ICTA),Technique,"3758 4283, 2510 4562","Léogane, Port-au-Prince"
246,316,Institution de Formation Standard en Administration,Technique,"3732 7515,  3360 6703",Ouest
247,207,Institution de Formation Standard et Universelle d'Haiti (IFOSUH),Technique,3808-5451/ 3357-2039,"25, Rue Geffrard, St Marc, Artibonite"
248,208,Institution de Formation Technique des Cayes (INFOTEC),Technique,3753 2103,"Ave Cartagena prolongé, Cayes, Sud"
249,374,Institution Polytechnique de l’Avenir,Technique,3745-2444 / 3797-7762,"19,Rte Nle 1 Gattereau 19 ,Gonaives"
250,72,Institution Universitaire des Sciences Juridiques et de Développement Régional,Universitaire,3751 9473,"449, Rte du Bel Air, Cap-Haïtien"
251,292,International Academy Centre d'Etudes Commerciales d'Administration et Informatique,Universitaire & Technique,"2813 8047, 3410 0567","161, Rue 4 Avenue Christophe, Port-au-Prince, Ouest"
